gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3456161250	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172475012/original.jpeg	https://www.inaturalist.org/photos/172475012					2021-09-01T21:23:16Z	Sonia Paź-Dyderska		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sonia Paź-Dyderska
3456032177	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172466958/original.jpeg	https://www.inaturalist.org/photos/172466958					2021-09-04T02:21:39Z	Sonia Paź-Dyderska		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sonia Paź-Dyderska
3456032177	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172466978/original.jpeg	https://www.inaturalist.org/photos/172466978					2021-09-04T02:21:49Z	Sonia Paź-Dyderska		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sonia Paź-Dyderska
3455970968	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172474942/original.jpeg	https://www.inaturalist.org/photos/172474942					2021-09-01T21:22:50Z	Sonia Paź-Dyderska		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sonia Paź-Dyderska
3455946829	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172475271/original.jpeg	https://www.inaturalist.org/photos/172475271					2021-09-01T21:42:32Z	Sonia Paź-Dyderska		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sonia Paź-Dyderska
3455946829	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172475186/original.jpeg	https://www.inaturalist.org/photos/172475186					2021-09-01T21:42:26Z	Sonia Paź-Dyderska		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sonia Paź-Dyderska
3455844252	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172475168/original.jpeg	https://www.inaturalist.org/photos/172475168					2021-09-01T21:35:21Z	Sonia Paź-Dyderska		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sonia Paź-Dyderska
3455821376	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172474839/original.jpeg	https://www.inaturalist.org/photos/172474839					2021-09-01T21:08:34Z	Sonia Paź-Dyderska		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sonia Paź-Dyderska
3455821362	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/172467168/original.jpeg	https://www.inaturalist.org/photos/172467168					2021-09-04T02:34:12Z	Sonia Paź-Dyderska		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sonia Paź-Dyderska
3455768798	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/61559037/original.jpeg	https://www.inaturalist.org/photos/61559037					2018-07-13T22:11:25Z	Aurélien Bour		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Aurélien Bour
3455768798	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/61558982/original.jpeg	https://www.inaturalist.org/photos/61558982					2018-07-13T22:09:55Z	Aurélien Bour		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Aurélien Bour
